parameter,n,h,d,b,k,w,signature_bytes,public_key_bytes,secret_key_bytes,keygen_us,sign_us,verify_us
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2268.92,51880.94,2881.94
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2267.0,51900.18,2961.24
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2276.6,51693.55,2844.31
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2271.32,52220.7,2850.36
sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,32,64,2502.01,51668.26,2850.75
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193512.99,1747791.94,1391.54
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193525.93,1729649.97,1393.24
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192503.98,1729748.09,1385.16
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192961.23,1732080.15,1445.19
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193750.42,1731761.63,1386.17
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192852.72,1730809.33,1386.62
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192642.45,1730965.73,1396.46
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193096.38,1731191.87,1389.93
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193531.13,1732226.97,1385.05
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,194196.49,1735184.98,1419.01
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193313.99,1734489.99,1391.51
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,194117.7,1735336.1,1413.96
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192805.51,1729775.98,1387.2
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193409.64,1731010.44,1403.25
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193338.88,1731244.15,1383.86
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192800.83,1729456.48,1391.86
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192706.33,1736080.19,1396.28
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192719.7,1729856.32,1388.8
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,194708.62,1734875.25,1388.02
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,192349.38,1730294.86,1384.16
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193241.9,1729585.03,1436.85
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193168.62,1732592.08,1387.9
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,196233.29,1758570.52,1397.34
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193504.43,1735048.55,1490.88
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193440.24,1738745.65,1461.79
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193242.62,1747743.82,1394.19
sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,48,96,193090.95,1734272.29,1385.25
