rank,parameter,n,h,d,b,k,w,signature_bytes,keygen_us,verify_us,signature_bytes_mean,public_key_bytes,secret_key_bytes,predicted_sign_us,security_bits,sign_score,keygen_score,verify_score,signature_score,key_size_total,key_size_score,security_score,final_score
1,sphincs-shake256-256f-simple,32,68,17,9,35,16,49856,7873.209000000002,3692.8623333333326,49856.0,64,128,147423.40326094712,256,0.9433615650032986,0.9707738712038425,0.15367565789146154,0.0,192,0.0,1.0,0.738328272471042
2,sphincs-shake256-128f-simple,16,66,22,6,33,16,17088,2289.1349999999998,2892.7533333333336,17088.0,32,64,52165.36127259189,128,1.0,1.0,0.40264372212974764,0.7801904761904762,96,1.0,0.0,0.7182834198320225
3,sphincs-shake256-192f-simple,24,66,22,8,33,16,35664,3293.8949999999995,4186.73,35664.0,48,96,82849.24967130116,192,0.9817560031442932,0.994741250712432,0.0,0.33790476190476193,144,0.5,0.5,0.7007040650550582
4,sphincs-shake256-128s-simple,16,63,7,12,14,16,7856,134701.54233333335,973.0286666666667,7856.0,32,64,1016141.5766088045,128,0.42683994893196886,0.3069751455777153,1.0,1.0,96,1.0,0.0,0.4667822514094448
5,sphincs-shake256-256s-simple,32,64,8,14,22,16,29792,133020.40133333334,2184.9176666666667,29792.0,64,128,1567425.1277694525,256,0.0990583052469135,0.3157739622464236,0.6228993069673348,0.47771428571428576,192,0.0,1.0,0.397050775703891
6,sphincs-shake256-192s-simple,24,63,7,14,17,16,16224,193353.57733333335,1401.8990000000001,16224.0,48,96,1734027.545386665,192,0.0,0.0,0.8665494117686107,0.8007619047619048,144,0.5,0.5,0.29173113165305153
